STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,15-Dec-2019
Time,8:20
Box Index,1
ExptType,0
SessionRecord,52

Session Title,MiTg_inactivation
Protocol Title,grating orientation discrimination with punishment and distractors (bug fixed)
Protocol Description,nose-touch one of the two locations according to stimulus orientation (2AFC) + ignore distractor + punishment for wrong selection
Analysis Ref,CS-101
Dose Details,Index,0
Dose Table Item
n.a.
0
Unassigned
300
Subject Id,MiTg01
DB Ref,nbk_shaping07_MiTg_inactivation
DB Group,-1
Day Table,Image Discrimination Day Table
Duration,192000
Pellet Count,0
Fluid Count,65
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,1
SS Dummy,2
SensorTC
S(1),
230,
AutoControl,Index,3,
AC Comment,,T6_temp - 1T1D (70x70) VT/HZ = 1:1 (Tc-6, Dc-1-6)
01_corss,02_responsebox,03_mask_060,hz6_060,hz6_080,hz6_100,hz6_120,vt6_060,vt6_080,vt6_100,vt6_120,hz1_060,hz2_060,hz3_060,hz4_060,hz5_060,hz6_060,hz7_060,hz8_060,vt1_060,vt2_060,vt3_060,vt4_060,vt5_060,vt6_060,vt7_060,vt8_060,hz1_070,vt1_070,hz2_070,vt2_070,hz3_070,vt3_070,hz4_070,vt4_070,hz6_070,vt6_070,hz5_070,vt5_070,hz7_070,vt7_070,hz8_070,vt8_070,
Image Discrim Details
Trials,Banked,RptInc,RptMssd,CTLimited,CTLimit,All_Trials,C_Trials,I_Trials,M_Trials,Ex_Crcn_Trials
160,0,0,0,0,10001,0,0,0,0
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,
14,1,9,14,24522,26194,26194,26264,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,1,1,15,26617,26638,26638,26767,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,0,4,16,27120,27155,27155,27252,0,4,1,0,0,0,0,0,0,0,27252,27352,0,1,27352,27365,
17,1,7,17,27368,29419,29419,29489,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,1,13,18,29842,29851,29851,29877,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,25,19,30230,30361,30361,30418,0,2,0,1,0,0,0,0,0,0,30418,30518,0,1,30518,30524,
20,0,16,20,30527,33356,33356,33447,0,6,1,0,0,0,0,0,0,0,33447,33547,0,1,33547,33555,
21,1,19,21,33558,36009,36009,36174,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,0,21,22,36527,37008,37008,37366,0,24,0,1,0,0,0,0,0,0,37366,37466,0,1,37466,37501,
23,0,22,23,37504,39700,39700,39799,0,2,1,0,0,0,0,0,0,0,39799,39899,0,1,39899,39912,
24,1,29,24,39915,42042,42042,42172,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,1,28,25,42525,42540,42540,42574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
26,0,12,26,42927,43073,43073,43418,0,14,1,0,0,0,0,0,0,0,43418,43518,0,1,43518,43636,
27,1,13,27,43639,46081,46081,46238,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,7,28,46591,46614,46614,46950,0,6,0,1,0,0,0,0,0,0,46950,47050,0,1,47050,47060,
29,0,25,29,47063,49177,49177,49482,0,8,0,1,0,0,0,0,0,0,49482,49582,0,1,49582,49605,
30,0,20,30,49608,52119,52119,52170,0,0,1,0,0,0,0,0,0,0,52170,52270,0,1,52270,52316,
31,1,3,31,52319,54590,54590,54657,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,1,11,32,55010,55019,55019,55065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,1,30,33,55418,55451,55451,55490,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
34,1,16,34,55843,56203,56203,56234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
35,1,7,35,56587,56609,56609,56675,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,1,13,36,57028,57044,57044,57104,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,0,18,37,57457,57459,57459,57520,0,2,1,0,0,0,0,0,0,0,57520,57620,0,1,57620,57651,
38,0,6,38,57654,60435,60435,60501,0,8,1,0,0,0,0,0,0,0,60501,60601,0,1,60601,60608,
39,0,12,39,60611,63082,63082,63126,0,0,1,0,0,0,0,0,0,0,63126,63226,0,1,63226,63240,
40,1,13,40,63243,66298,66298,66444,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,0,10,41,66797,66814,66814,66882,0,2,1,0,0,0,0,0,0,0,66882,66982,0,1,66982,67088,
42,0,8,42,67091,69508,69508,69568,0,0,1,0,0,0,0,0,0,0,69568,69668,0,1,69668,69695,
43,0,23,43,69698,72305,72305,72375,0,2,0,1,0,0,0,0,0,0,72375,72475,0,1,72475,72507,
44,0,4,44,72510,74825,74825,75141,0,4,1,0,0,0,0,0,0,0,75141,75241,0,1,75241,75352,
45,1,19,45,75355,77773,77773,77805,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,0,28,46,78158,78483,78483,78667,0,12,1,0,0,0,0,0,0,0,78667,78767,0,1,78767,78773,
47,0,22,47,78776,81368,81368,81432,0,4,1,0,0,0,0,0,0,0,81432,81532,0,1,81532,81549,
48,0,26,48,81552,84515,84515,84558,0,2,1,0,0,0,0,0,0,0,84558,84658,0,1,84658,84684,
49,0,0,49,84687,87390,87390,87420,0,0,1,0,0,0,0,0,0,0,87420,87520,0,1,87520,87536,
50,1,21,50,87539,89965,89965,90052,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,1,1,51,90405,90437,90437,90649,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,1,28,52,91002,91010,91010,91060,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
53,0,6,53,91413,91432,91432,91477,0,2,1,0,0,0,0,0,0,0,91477,91577,0,1,91577,91597,
54,0,12,54,91600,94311,94311,94355,0,0,1,0,0,0,0,0,0,0,94355,94455,0,1,94455,94502,
55,0,30,55,94505,96793,96793,96814,0,0,1,0,0,0,0,0,0,0,96814,96914,0,1,96914,96930,
56,1,19,56,96933,99742,99742,99875,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,0,18,57,100228,100250,100250,100310,0,2,1,0,0,0,0,0,0,0,100310,100410,0,1,100410,100466,
58,1,11,58,100469,103124,103124,103164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,1,3,59,103517,103543,103543,103567,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,0,15,60,103920,103946,103946,103994,0,0,0,1,0,0,0,0,0,0,103994,104094,0,1,104094,104128,
61,0,31,61,104131,106855,106855,106922,0,0,0,1,0,0,0,0,0,0,106922,107022,0,1,107022,107229,
62,0,29,62,107232,110948,110948,110982,0,0,0,1,0,0,0,0,0,0,110982,111082,0,1,111082,111105,
63,0,3,63,111108,113574,113574,113853,0,0,0,1,0,0,0,0,0,0,113853,113953,0,1,113953,113980,
64,1,28,64,113983,116321,116321,116468,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
65,0,9,65,116821,116825,116825,117002,0,12,0,1,0,0,0,0,0,0,117002,117102,0,1,117102,117120,
66,0,5,66,117123,119341,119341,119380,0,2,0,1,0,0,0,0,0,0,119380,119480,0,1,119480,119492,
67,0,24,67,119495,121864,121864,122052,0,0,1,0,0,0,0,0,0,0,122052,122152,0,1,122152,122160,
68,0,6,68,122163,124832,124832,124982,0,2,1,0,0,0,0,0,0,0,124982,125082,0,1,125082,125131,
69,0,10,69,125134,127664,127664,127722,0,0,1,0,0,0,0,0,0,0,127722,127822,0,1,127822,127848,
70,0,20,70,127851,130393,130393,130435,0,0,1,0,0,0,0,0,0,0,130435,130535,0,1,130535,130543,
71,1,17,71,130546,133487,133487,133609,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,0,8,72,133962,133997,133997,134050,0,4,1,0,0,0,0,0,0,0,134050,134150,0,1,134150,134180,
73,1,15,73,134183,136314,136314,136430,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,0,2,74,136783,136810,136810,136937,0,10,1,0,0,0,0,0,0,0,136937,137037,0,1,137037,137057,
75,0,11,75,137060,139537,139537,139616,0,2,0,1,0,0,0,0,0,0,139616,139716,0,1,139716,139737,
76,0,23,76,139740,141655,141655,141905,0,8,0,1,0,0,0,0,0,0,141905,142005,0,1,142005,142011,
77,1,13,77,142014,144370,144370,144416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,1,21,78,144769,144811,144811,144905,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,0,4,79,145258,145264,145264,145313,0,2,1,0,0,0,0,0,0,0,145313,145413,0,1,145413,145452,
80,0,18,80,145455,147995,147995,148033,0,0,1,0,0,0,0,0,0,0,148033,148133,0,1,148133,148148,
81,1,10,81,148151,150543,150543,150796,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
82,0,0,82,151149,151245,151245,151320,0,2,1,0,0,0,0,0,0,0,151320,151420,0,1,151420,151459,
83,0,6,83,151462,153924,153924,153999,0,2,1,0,0,0,0,0,0,0,153999,154099,0,1,154099,154129,
84,0,8,84,154132,156810,156810,156861,0,0,1,0,0,0,0,0,0,0,156861,156961,0,1,156961,156973,
85,0,8,85,156976,159236,159236,159299,0,0,1,0,0,0,0,0,0,0,159299,159399,0,1,159399,159427,
86,0,30,86,159430,161858,161858,161983,0,2,1,0,0,0,0,0,0,0,161983,162083,0,1,162083,162099,
87,0,1,87,162102,164925,164925,165463,0,16,0,1,0,0,0,0,0,0,165463,165563,0,1,165563,165580,
88,0,27,88,165583,168218,168218,168342,0,0,0,1,0,0,0,0,0,0,168342,168442,0,1,168442,168460,
89,0,24,89,168463,170586,170586,170637,0,0,1,0,0,0,0,0,0,0,170637,170737,0,1,170737,170773,
90,0,26,90,170776,173130,173130,173225,0,0,1,0,0,0,0,0,0,0,173225,173325,0,1,173325,173343,
91,1,27,91,173346,175543,175543,175572,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,0,4,92,175925,175926,175926,176035,0,6,1,0,0,0,0,0,0,0,176035,176135,0,1,176135,176159,
93,1,15,93,176162,178430,178430,178498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,0,15,94,178851,179372,179372,179973,0,22,0,1,0,0,0,0,0,0,179973,180073,0,1,180073,180163,
95,0,8,95,180166,182841,182841,182945,0,4,1,0,0,0,0,0,0,0,182945,183045,0,1,183045,183053,
96,0,2,96,183056,185324,185324,185391,0,2,1,0,0,0,0,0,0,0,185391,185491,0,1,185491,185512,
97,0,25,97,185515,187679,187679,187723,0,2,0,1,0,0,0,0,0,0,187723,187823,0,1,187823,187864,
98,0,0,98,187867,191454,191454,191773,0,12,1,0,0,0,0,0,0,0,191773,191873,0,1,191873,191908,
99,128,7,99,191911,192000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENDDATA
