scorer,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia
labeled-data\c_13817_392\img0644.png,218.27328845018036,361.82217851891875,487.0142563177803,302.4683451248476,338.62967283260247,431.0683174786684,,
labeled-data\c_13817_392\img0708.png,279.27583943853125,264.54784045641327,506.7988674491374,243.11451173077648,317.19634410696557,363.4708961131985,,
labeled-data\c_13817_392\img0842.png,313.8989089184061,226.62733578797895,,,353.4681311811202,295.87347474772855,,
labeled-data\c_13817_392\img1031.png,149.02714949043065,333.7939794161629,289.16814500420975,403.0401183759126,145.72971430187118,478.8811277127813,,
labeled-data\c_13817_392\img1397.png,256.1937931186147,309.0632155019666,447.4450340550662,379.95807205599607,302.3578857584478,467.340104552823,,
labeled-data\c_13817_392\img1547.png,338.62967283260247,262.8991228621335,406.2270941980724,323.90167385048437,234.7604643929779,398.09396559307334,,
labeled-data\c_13817_392\img1649.png,336.9809552383227,243.11451173077648,496.9065618834588,267.84527564497273,304.0066033527276,333.7939794161629,,
labeled-data\c_13817_392\img1908.png,,,83.0784457192405,361.82217851891875,,,13.832306759490848,572.8580305867273
labeled-data\c_13817_392\img2015.png,,,119.3502327933951,411.28370634731135,,,,
labeled-data\c_13817_392\img2121.png,17.12974194805031,403.0401183759126,153.9733022732699,383.25550724455553,68.2399873707227,510.2067620040966,20.427177136609828,492.07086846701935
labeled-data\c_13817_393\img0001.png,516.5903794805406,322.98041103649166,592.7130431264667,403.45294117647063,416.54345011732346,425.2022736467352,,
labeled-data\c_13817_393\img0051.png,236.66234370483926,301.86837277102666,416.71939536549496,370.385657916232,255.7834465360594,445.2766440051773,,
labeled-data\c_13817_393\img0239.png,190.4530118627241,300.27494753509166,384.8508906467948,335.3303027256618,206.38726422207412,430.9358168817622,,
labeled-data\c_13817_393\img0268.png,254.19002130012439,238.13136333362638,448.5879000841951,293.90124659135165,244.62946988451426,368.79223268029693,,
labeled-data\c_13817_393\img0361.png,322.70730644532966,214.22998479460125,501.17093287005036,282.7472699398066,294.02565219849953,330.5500270178568,,
labeled-data\c_13817_393\img0411.png,317.92703073752455,223.79053621021137,,,340.2349840406147,311.4289241866367,,
labeled-data\c_13817_393\img0528.png,300.39935314223953,155.27325106500598,351.3889606921597,226.97738668208132,207.98068945800912,249.28533998517145,,
labeled-data\c_13817_393\img0765.png,244.62946988451426,242.91163904143139,507.54463381379037,217.41683526647125,341.8284092765497,300.27494753509166,,
labeled-data\c_13817_393\img0899.png,,,,,,,,
labeled-data\c_13817_393\img1121.png,241.44261941264426,354.4514055568819,520.2920357012704,333.7368774897268,373.6969139952498,464.3977468363974,,
labeled-data\c_13817_393\img1243.png,260.5637222438644,233.35108762582138,407.15884394988495,258.84589140078145,222.32151658142425,316.2091998944417,,
labeled-data\c_13817_393\img1422.png,268.5308484235394,199.88915767118624,,,359.3560868718348,250.87876522110645,,
labeled-data\c_13817_393\img1701.png,,,375.2903392311848,193.51545672744624,215.94781563768413,228.57081191801637,,
labeled-data\c_13817_393\img2027.png,174.51875950337399,279.5604194679366,348.2021102202897,316.2091998944417,182.485885683049,373.572508388102,,
labeled-data\c_13817_393\img2171.png,294.02565219849953,219.01026050240625,349.7955354562247,322.58290083818173,206.38726422207412,375.165933624037,,
labeled-data\c_13817_394\img0053.png,507.8906464924347,494.8001375515818,,,664.4858402783398,588.3222671737196,,
labeled-data\c_13817_394\img0217.png,308.8714050542242,324.2258881335059,507.10707616522365,376.56010530680976,335.8314563253202,446.33906153788155,,
labeled-data\c_13817_394\img0390.png,326.3161441119922,268.7199002224261,507.10707616522365,306.78114907573797,318.3867172675522,373.38833456903376,,
labeled-data\c_13817_394\img0741.png,267.63838546313633,335.3270857157219,,,400.852756449728,413.03546879123365,,
labeled-data\c_13817_394\img0750.png,280.32546841424033,321.0541173957299,,,391.3374442364,414.62135416012165,,
labeled-data\c_13817_394\img1092.png,353.2761953830881,365.4589077245938,,,484.90468100079175,535.1486421956093,,
labeled-data\c_13817_394\img1097.png,351.69031001420007,357.5294808801538,,,489.6623371074557,541.4921836711612,,
labeled-data\c_13817_394\img1176.png,321.55848800532823,295.679951493522,,,365.963278334192,506.6027055556254,,
labeled-data\c_13817_394\img1395.png,,,,,,,,
labeled-data\c_13817_394\img1472.png,413.5398394008319,376.56010530680976,,,,,,
labeled-data\c_13817_394\img1527.png,321.55848800532823,400.3483858401297,502.3494200585597,520.8756738756174,,,,
labeled-data\c_13817_394\img1669.png,243.85010492981638,401.9342712090177,510.27884690299965,394.0048443645777,391.3374442364,506.6027055556254,,
labeled-data\c_13817_394\img1970.png,,,,,,,,
labeled-data\c_13817_394\img2163.png,21.82615328549707,328.9835442401699,223.23359513427243,317.882346657954,44.02854844992896,438.4096346934416,,
